Mach,CD Power-Off
3.2,0.404606055
3.21,0.403780235
3.22,0.402958609
3.23,0.402141138
3.24,0.401327812
3.25,0.400518567
3.26,0.399713405
3.27,0.398912248
3.28,0.398115111
3.29,0.397321949
3.3,0.396532705
3.31,0.39574739
3.32,0.394965939
3.33,0.394188361
3.34,0.393414579
3.35,0.392644596
3.36,0.391878381
3.37,0.391115885
3.38,0.390357112
3.39,0.389602002
3.4,0.388850551
3.41,0.388102721
3.42,0.387358489
3.43,0.386617841
3.44,0.385880726
3.45,0.385147126
3.46,0.384417032
3.47,0.383690395
3.48,0.382967197
3.49,0.382247432
3.5,0.381531049
3.51,0.380818032
3.52,0.380108369
3.53,0.379402034
3.54,0.37869898
3.55,0.377999213
3.56,0.377302692
3.57,0.376609405
3.58,0.375919301
3.59,0.375232399
3.6,0.374548667
3.61,0.373868066
3.62,0.373190576
3.63,0.372516183
3.64,0.371844868
3.65,0.371176602
3.66,0.370511367
3.67,0.369849158
3.68,0.369189928
3.69,0.368533669
3.7,0.367880366
3.71,0.367229995
3.72,0.366582517
3.73,0.36593794
3.74,0.365296235
3.75,0.364657385
3.76,0.36402136
3.77,0.363388143
3.78,0.362757741
3.79,0.362130084
3.8,0.361505223
3.81,0.360883056
3.82,0.360263631
3.83,0.359646914
3.84,0.359032873
3.85,0.358421495
3.86,0.357812787
3.87,0.357206684
3.88,0.356603192
3.89,0.356002318
3.9,0.355404012
3.91,0.354808259
3.92,0.354215068
3.93,0.353624392
3.94,0.353036241
3.95,0.352450571
3.96,0.351867381
3.97,0.351286671
3.98,0.350708385
3.99,0.350132534
4,0.349559112
4.01,0.34901092
4.02,0.348465092
4.03,0.347921627
4.04,0.347380466
4.05,0.346841612
4.06,0.346305071
4.07,0.345770804
4.08,0.345238814
4.09,0.344709062
4.1,0.344181554
4.11,0.343656273
4.12,0.343133195
4.13,0.342612316
4.14,0.342093622
4.15,0.341553325
4.16,0.340999254
4.17,0.340447576
4.18,0.339898302
4.19,0.339351393
4.2,0.338806867
4.21,0.338264673
4.22,0.337724829
4.23,0.337187284
4.24,0.336652036
4.25,0.336119102
4.26,0.335588414
4.27,0.335059978
4.28,0.334533804
4.29,0.334009841
4.3,0.333488088
4.31,0.332968533
4.32,0.332451166
4.33,0.331935956
4.34,0.33142291
4.35,0.330911991
4.36,0.330403187
4.37,0.329896516
4.38,0.329391928
4.39,0.328889433
4.4,0.328388991
4.41,0.327890599
4.42,0.327394268
4.43,0.326899941
4.44,0.326407632
4.45,0.325917333
4.46,0.325429016
4.47,0.324942658
4.48,0.324458289
4.49,0.323975852
4.5,0.323495335
4.51,0.323016757
4.52,0.32254007
4.53,0.322065291
4.54,0.321592386
4.55,0.321121349
4.56,0.320652183
4.57,0.320184851
4.58,0.319719338
4.59,0.319255678
4.6,0.3187938
4.61,0.318333715
4.62,0.317875435
4.63,0.31741889
4.64,0.316964138
4.65,0.316511122
4.66,0.316059833
4.67,0.315610283
4.68,0.315162426
4.69,0.314716281
4.7,0.314271825
4.71,0.31382904
4.72,0.313387918
4.73,0.312948449
4.74,0.31251063
4.75,0.312074436
4.76,0.311639862
4.77,0.311206911
4.78,0.31077554
4.79,0.310345768
4.8,0.309917566
4.81,0.309490937
4.82,0.30906585
4.83,0.3086423
4.84,0.308220295
4.85,0.307799807
4.86,0.307380829
4.87,0.30696336
4.88,0.306547365
4.89,0.306132856
4.9,0.305719828
4.91,0.305308238
4.92,0.304898108
4.93,0.304489419
4.94,0.304082148
4.95,0.303676315
4.96,0.303271866
4.97,0.302868808
4.98,0.302467166
4.99,0.302066877
5,0.301667962
5.01,0.301270411
5.02,0.300874205
5.03,0.300479323
5.04,0.300085798
5.05,0.299693578
5.06,0.299302649
5.07,0.298913051
5.08,0.298524715
5.09,0.298137671
5.1,0.297751894
5.11,0.297367373
5.12,0.29698413
5.13,0.296602095
5.14,0.296221312
5.15,0.295841746
5.16,0.295463399
5.17,0.295086249
5.18,0.294710301
5.19,0.294335545
5.2,0.293961958
5.21,0.29358956
5.22,0.293218301
5.23,0.292848201
5.24,0.292479241
5.25,0.29211141
5.26,0.291744716
5.27,0.291379131
5.28,0.291014654
5.29,0.290651279
5.3,0.29028899
5.31,0.289927769
5.32,0.289567651
5.33,0.289208571
5.34,0.288850554
5.35,0.28849359
5.36,0.288137657
5.37,0.287782768
5.38,0.287428882
5.39,0.287076013
5.4,0.28672416
5.41,0.286373303
5.42,0.286023422
5.43,0.285674536
5.44,0.285326616
5.45,0.284979649
5.46,0.284633651
5.47,0.284288595
5.48,0.283944488
5.49,0.283601307
5.5,0.283259043
5.51,0.282917707
5.52,0.282577276
5.53,0.282237733
5.54,0.281899105
5.55,0.28156134
5.56,0.281224463
5.57,0.280888454
5.58,0.280553293
5.59,0.280218996
5.6,0.279885555
5.61,0.27955293
5.62,0.279221146
5.63,0.278890188
5.64,0.278560041
5.65,0.278230714
5.66,0.27790217
5.67,0.277574421
5.68,0.277247467
5.69,0.276921285
5.7,0.276595867
5.71,0.27627123
5.72,0.275947331
5.73,0.27562418
5.74,0.275301785
5.75,0.274980105
5.76,0.274659161
5.77,0.274338938
5.78,0.274019427
5.79,0.273700617
5.8,0.273382511
5.81,0.273065085
5.82,0.272748354
5.83,0.272432293
5.84,0.272116896
5.85,0.271802176
5.86,0.271488098
5.87,0.271174669
5.88,0.270861893
5.89,0.270549744
5.9,0.270238215
5.91,0.269927321
5.92,0.269617033
5.93,0.269307353
5.94,0.268998274
5.95,0.268689784
5.96,0.268381892
5.97,0.268074561
5.98,0.26776781
5.99,0.26746164
6,0.267156013
6.01,0.266860847
6.02,0.266577667
6.03,0.266295282
6.04,0.266013684
6.05,0.265732886
6.06,0.265452857
6.07,0.265173602
6.08,0.264895132
6.09,0.264617431
6.1,0.264340497
6.11,0.264064325
6.12,0.263788906
6.13,0.26351426
6.14,0.263240353
6.15,0.262967215
6.16,0.262694815
6.17,0.262423162
6.18,0.262152238
6.19,0.261882066
6.2,0.261612621
6.21,0.261343916
6.22,0.26107594
6.23,0.26084798
6.24,0.260665566
6.25,0.26048357
6.26,0.260302028
6.27,0.260120914
6.28,0.259940204
6.29,0.259759945
6.3,0.259580123
6.31,0.259400714
6.32,0.259221725
6.33,0.25904317
6.34,0.258865024
6.35,0.258687309
6.36,0.258510025
6.37,0.258333135
6.38,0.258156683
6.39,0.257980607
6.4,0.257804955
6.41,0.257629736
6.42,0.257454906
6.43,0.257280479
6.44,0.257106483
6.45,0.256932872
6.46,0.256759651
6.47,0.256586838
6.48,0.256414431
6.49,0.256242423
6.5,0.256070818
6.51,0.255899578
6.52,0.255728761
6.53,0.255558316
6.54,0.255388271
6.55,0.255218623
6.56,0.255049355
6.57,0.254880456
6.58,0.254711967
6.59,0.254543855
6.6,0.254376109
6.61,0.254208752
6.62,0.254041769
6.63,0.253875163
6.64,0.253708945
6.65,0.253543086
