0.11, 0, 0, 5, 0.4513267, 0, 465.7213, -918.4833, -2.135472, 0.005027314, 0.08000609, 27.97216, 1.149665, 1.014294, 1.734653
 
0.12, -0.1742714, 0, 5, 0.4505073, 0.804725425074504377925, 550.431, -918.7855, -2.135472, 0.005027314, 0.08000609, 30.41021, 1.149665, 1.013797, 1.736117
 
0.13, -0.1822758, -0.001742714, 5, 0.4496842, 0.739305926896657094325, 642.0918, -919.0889, -2.135472, 0.005027314, 0.08000609, 32.84521, 1.149665, 1.0133, 1.737581
 
0.14, -0.1900486, -0.003565472, 5, 0.4488576, 0.6835281827600879872057058776, 740.6543, -919.3934, -2.135472, 0.005027314, 0.08000609, 35.27665, 1.149665, 1.012803, 1.739046
 
0.15, -0.1975736, -0.005465959, 5, 0.4480329, 0.6353559433205143477507058776, 846.0717, -919.6989, -2.135472, 0.005027314, 0.08000609, 37.70419, 1.149665, 1.012306, 1.74051
 
0.16, -0.2048328, -0.007441695, 5, 0.4471935, 0.5932798922198967161850, 958.2939, -920.0057, -2.135472, 0.005027314, 0.08000609, 40.12751, 1.149665, 1.011809, 1.741975
 
0.17, -0.211808, -0.009490022, 5, 0.4463617, 0.5561585327071819401525, 1077.272, -920.3134, -2.135472, 0.005027314, 0.08000609, 42.54641, 1.149665, 1.011312, 1.743439
 
0.18, -0.2184791, -0.0116081, 5, 0.4455205, 0.5231126144398920721792941224, 1202.957, -920.6223, -2.135472, 0.005027314, 0.08000609, 44.9607, 1.149665, 1.010815, 1.744904
 
0.19, -0.2248255, -0.01379289, 5, 0.4446759, 0.4934546556589343705707058776, 1335.297, -920.9323, -2.135472, 0.005027314, 0.08000609, 47.3702, 1.149665, 1.010318, 1.746368
 
0.2, -0.2308242, -0.01604115, 5, 0.4438332, 0.466637843176871265900, 1474.245, -921.2435, -2.135472, 0.005027314, 0.08000609, 49.77481, 1.149665, 1.009821, 1.747832
 
0.21, -0.2365008, -0.01834939, 5, 0.443384, 0.4422230183253763755225, 1620.03, -921.5557, -2.135472, 0.005027314, 0.08000609, 52.17897, 1.149665, 1.009325, 1.749297
 
0.22, -0.2418016, -0.0207144, 5, 0.4433415, 0.4198159502554382513857058776, 1772.644, -921.8691, -2.135472, 0.005027314, 0.08000609, 54.58261, 1.149665, 1.008828, 1.750761
 
0.23, -0.2466974, -0.02313242, 5, 0.4432975, 0.3991325028062659785225, 1932.076, -922.1835, -2.135472, 0.005027314, 0.08000609, 56.98568, 1.149665, 1.008331, 1.752226
 
0.24, -0.2511568, -0.02559939, 5, 0.4432519, 0.3799368408113087749875, 2098.314, -922.499, -2.135472, 0.005027314, 0.08000609, 59.38807, 1.149665, 1.007834, 1.75369
 
0.25, -0.2551484, -0.02811096, 5, 0.4432052, 0.362031382343145454875, 2271.345, -922.8157, -2.135472, 0.005027314, 0.08000609, 61.78975, 1.149665, 1.007337, 1.755155
 
0.26, -0.2586378, -0.03066244, 5, 0.4431571, 0.3452495499758594856457058776, 2451.159, -923.1334, -2.135472, 0.005027314, 0.08000609, 64.19067, 1.149665, 1.00684, 1.756619
 
