0,0,0,,,,0,5,10,15,20
0,5,-846.164362,,,0,0,-846.164362,-1582.253382,-2216.227931,-2760.133938
0,10,-1582.253382,,,1,52.51355782,-782.344424,-1508.115266,-2135.542893,-2675.208947
0,15,-2216.227931,,,2,105.8930959,-717.5149209,-1433.6608,-2054.635674,-2591.165177
0,20,-2760.133938,,,3,160.4213535,-651.6366983,-1358.458137,-1973.788291,-2506.177403
1,0,52.51355782,,,4,216.2362443,-584.6531793,-1283.160303,-1893.036339,-2422.198758
1,5,-782.344424,,,5,273.2385095,-516.8243664,-1207.319042,-1812.434586,-2338.625799
1,10,-1508.115266,,,6,331.2438837,-448.28605,-1131.338501,-1731.877632,-2254.765159
1,15,-2135.542893,,,7,390.4787839,-379.1220331,-1055.19711,-1651.236607,-2171.33229
1,20,-2675.208947,,,8,450.4829711,-309.1469858,-978.7123328,-1570.733741,-2089.162252
2,0,105.8930959,,,9,511.4610018,-238.8703675,-902.2239909,-1490.664375,-2006.938155
2,5,-717.5149209,,,10,573.2924499,-168.2359433,-826.2801863,-1411.030671,-1924.288877
2,10,-1433.6608,,,11,635.8730939,-97.08212503,-750.1426756,-1331.735742,-1843.167632
2,15,-2054.635674,,,12,699.1330128,-26.13361105,-674.2420326,-1253.032073,-1762.857519
2,20,-2591.165177,,,13,763.1113477,45.36779842,-598.2405593,-1174.286971,-1682.279812
3,0,160.4213535,,,14,827.4391455,116.6082027,-522.9677907,-1096.006552,-1602.481809
3,5,-651.6366983,,,15,892.4136508,187.8003872,-447.6435608,-1018.280191,-1524.273165
3,10,-1358.458137,,,16,957.7083697,259.390897,-372.8368853,-941.3582926,-1445.951491
3,15,-1973.788291,,,17,1023.243989,330.5885392,-298.4956744,-865.2101018,-1367.471942
3,20,-2506.177403,,,18,1089.187769,400.9644581,-224.1256707,-789.6658909,-1290.821822
4,0,216.2362443,,,19,1155.189561,472.0767665,-151.0945196,-714.0490573,-1215.022043
4,5,-584.6531793,,,20,0,0,0,0,0
4,10,-1283.160303,,,,,,,,
4,15,-1893.036339,,,,,,,,
4,20,-2422.198758,,,,,,,,
5,0,273.2385095,,,,,,,,
5,5,-516.8243664,,,,,,,,
5,10,-1207.319042,,,,,,,,
5,15,-1812.434586,,,,,,,,
5,20,-2338.625799,,,,,,,,
6,0,331.2438837,,,,,,,,
6,5,-448.28605,,,,,,,,
6,10,-1131.338501,,,,,,,,
6,15,-1731.877632,,,,,,,,
6,20,-2254.765159,,,,,,,,
7,0,390.4787839,,,,,,,,
7,5,-379.1220331,,,,,,,,
7,10,-1055.19711,,,,,,,,
7,15,-1651.236607,,,,,,,,
7,20,-2171.33229,,,,,,,,
8,0,450.4829711,,,,,,,,
8,5,-309.1469858,,,,,,,,
8,10,-978.7123328,,,,,,,,
8,15,-1570.733741,,,,,,,,
8,20,-2089.162252,,,,,,,,
9,0,511.4610018,,,,,,,,
9,5,-238.8703675,,,,,,,,
9,10,-902.2239909,,,,,,,,
9,15,-1490.664375,,,,,,,,
9,20,-2006.938155,,,,,,,,
10,0,573.2924499,,,,,,,,
10,5,-168.2359433,,,,,,,,
10,10,-826.2801863,,,,,,,,
10,15,-1411.030671,,,,,,,,
10,20,-1924.288877,,,,,,,,
11,0,635.8730939,,,,,,,,
11,5,-97.08212503,,,,,,,,
11,10,-750.1426756,,,,,,,,
11,15,-1331.735742,,,,,,,,
11,20,-1843.167632,,,,,,,,
12,0,699.1330128,,,,,,,,
12,5,-26.13361105,,,,,,,,
12,10,-674.2420326,,,,,,,,
12,15,-1253.032073,,,,,,,,
12,20,-1762.857519,,,,,,,,
13,0,763.1113477,,,,,,,,
13,5,45.36779842,,,,,,,,
13,10,-598.2405593,,,,,,,,
13,15,-1174.286971,,,,,,,,
13,20,-1682.279812,,,,,,,,
14,0,827.4391455,,,,,,,,
14,5,116.6082027,,,,,,,,
14,10,-522.9677907,,,,,,,,
14,15,-1096.006552,,,,,,,,
14,20,-1602.481809,,,,,,,,
15,0,892.4136508,,,,,,,,
15,5,187.8003872,,,,,,,,
15,10,-447.6435608,,,,,,,,
15,15,-1018.280191,,,,,,,,
15,20,-1524.273165,,,,,,,,
16,0,957.7083697,,,,,,,,
16,5,259.390897,,,,,,,,
16,10,-372.8368853,,,,,,,,
16,15,-941.3582926,,,,,,,,
16,20,-1445.951491,,,,,,,,
17,0,1023.243989,,,,,,,,
17,5,330.5885392,,,,,,,,
17,10,-298.4956744,,,,,,,,
17,15,-865.2101018,,,,,,,,
17,20,-1367.471942,,,,,,,,
18,0,1089.187769,,,,,,,,
18,5,400.9644581,,,,,,,,
18,10,-224.1256707,,,,,,,,
18,15,-789.6658909,,,,,,,,
18,20,-1290.821822,,,,,,,,
19,0,1155.189561,,,,,,,,
19,5,472.0767665,,,,,,,,
19,10,-151.0945196,,,,,,,,
19,15,-714.0490573,,,,,,,,
19,20,-1215.022043,,,,,,,,
