Wind Speed,0,5,10,15,20
0.0,0.0,46.993847319266585,93.92428535274595,140.69381173275957,187.3540311515213
0.9090909090909091,157.46966705437967,110.76815846521951,64.28886579327268,18.008057952323835,27.936176232280687
1.8181818181818181,315.86255784244906,269.75715594028344,223.94906351860584,178.4647241829177,133.28154951109832
2.727272727272727,475.78254398101234,430.4784646914332,385.4836108163708,340.7505691488624,296.3749666019559
3.6363636363636362,637.6363857701144,593.1165079040138,548.9449632199984,505.10032103465073,461.5473982488924
4.545454545454546,801.3762429348988,757.6940116027631,714.3767704742721,671.3917761459013,628.638735527352
5.454545454545454,967.0490876089747,924.3170098851248,881.7307009954004,839.6183476301177,797.6196744488141
6.363636363636363,1134.525775259734,1092.6320446617226,1050.8305252048915,1009.5280968224458,968.4734109908761
7.2727272727272725,1304.1969472462706,1262.6939749763221,1221.7410455266584,1181.2332115605905,1140.84292245691
8.181818181818182,1474.8891743881418,1434.5493906871643,1394.2330806217644,1354.2238389709619,1314.5673000703985
9.090909090909092,1647.3459390399946,1607.400413577941,1567.9199571812705,1528.7248515283507,1489.6276822420405
